Teams,elo rating
Man City,2352
Bayern,2347
Real Madrid,2287
Barcelona,2260
Napoli,2252
Arsenal FC ,2212
Benfica,2196
Liverpool,2195
Manchester United ,2189
Inter,2155
Paris,2150
Porto,2150
Dortmund,2141
Atletico,2140
Juventus,2129
Leipzig,2121
Chelsea,2115
Brighton & Hove Albion ,2107
Milan,2105
Newcastle United ,2103
Tottenham,2081
Leverkusen,2076
Salzburg,2072
Real Betis ,2063
Villarreal CF ,2059
FC Union Berlin ,2058
Sporting CP ,2056
Marseille,2055
Feyenoord ,2055
SC Freiburg ,2052
AS Roma ,2048
Ajax,2043
Real Sociedad ,2043
PSV Eindhoven ,2039
Lazio Roma ,2038
Frankfurt,2035
Celtic,2034
Lille OSC ,2032
Atalanta ,2032
Aston Villa ,2028
ACF Fiorentina ,2027
Brentford FC ,2026
Zenit St. Petersburg ,2025
RC Lens ,2023
AS Monaco ,2021
Athletic Bilbao ,2016
West Ham United ,2006
VfL Wolfsburg ,2004
Stade Rennes ,1996
Union Saint Gilloise ,1994
